Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,d,h,w,c,k,t,r,s,z,p,q,pad_d,pad_h,pad_w,stride_d,stride_h,stride_w,dilation_d,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_256x128_32x3,not_verified,success,fprop,64,14,14,14,256,256,3,3,3,14,14,14,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,128,32,3,4,2,1,16,8,16,80,1024,2521169920,621585104896,246,8.25033,284.597,75340.7
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_256x128_32x3,not_verified,success,wgrad,64,14,14,14,256,256,3,3,3,14,14,14,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,128,32,3,4,2,1,16,8,16,80,1024,2521169920,621498728448,246,12.2709,191.349,50648.4
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_128x256_32x3,not_verified,success,fprop,64,14,14,14,256,256,3,3,3,14,14,14,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,256,32,3,2,4,1,16,8,16,80,1024,2521169920,621585104896,246,7.90026,297.208,78679
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_128x256_32x3,not_verified,success,wgrad,64,14,14,14,256,256,3,3,3,14,14,14,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,256,32,3,2,4,1,16,8,16,80,1024,2521169920,621498728448,246,12.7105,184.73,48896.4
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_256x64_32x3,not_verified,success,fprop,64,14,14,14,256,256,3,3,3,14,14,14,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,64,32,3,4,1,1,16,8,16,80,1024,2521169920,621585104896,246,11.3485,206.902,54772.5
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_256x64_32x3,not_verified,success,wgrad,64,14,14,14,256,256,3,3,3,14,14,14,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,64,32,3,4,1,1,16,8,16,80,1024,2521169920,621498728448,246,13.9137,168.756,44668
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_256x64_32x4,not_verified,success,fprop,64,14,14,14,256,256,3,3,3,14,14,14,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,64,32,4,4,1,1,16,8,16,80,1024,2521169920,621585104896,246,11.9212,196.962,52141.1
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_256x64_32x4,not_verified,success,wgrad,64,14,14,14,256,256,3,3,3,14,14,14,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,64,32,4,4,1,1,16,8,16,80,1024,2521169920,621498728448,246,14.0407,167.23,44264.1
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_64x256_32x4,not_verified,success,fprop,64,14,14,14,256,256,3,3,3,14,14,14,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,256,32,4,1,4,1,16,8,16,80,1024,2521169920,621585104896,246,8.65055,271.431,71855
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_64x256_32x4,not_verified,success,wgrad,64,14,14,14,256,256,3,3,3,14,14,14,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,256,32,4,1,4,1,16,8,16,80,1024,2521169920,621498728448,246,23.1928,101.239,26797.1
