Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,d,h,w,c,k,t,r,s,z,p,q,pad_d,pad_h,pad_w,stride_d,stride_h,stride_w,dilation_d,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_256x128_32x3,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,128,32,3,4,2,1,16,8,16,80,1024,10070745088,621854851072,61,16.1564,580.52,38489.7
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_256x128_32x3,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,128,32,3,4,2,1,16,8,16,80,1024,10070745088,621495410688,61,197.915,47.3896,3140.21
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_128x256_32x3,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,256,32,3,2,4,1,16,8,16,80,1024,10070745088,621854851072,61,31.8142,294.809,19546.5
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_128x256_32x3,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,256,32,3,2,4,1,16,8,16,80,1024,10070745088,621495410688,61,202.774,46.2541,3064.97
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_256x64_32x3,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,64,32,3,4,1,1,16,8,16,80,1024,10070745088,621854851072,61,11.5855,809.557,53675.3
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_256x64_32x3,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,64,32,3,4,1,1,16,8,16,80,1024,10070745088,621495410688,61,113.22,82.8398,5489.28
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_256x64_32x4,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,64,32,4,4,1,1,16,8,16,80,1024,10070745088,621854851072,61,12.176,770.295,51072.2
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_256x64_32x4,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,64,32,4,4,1,1,16,8,16,80,1024,10070745088,621495410688,61,113.304,82.7785,5485.22
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_64x256_32x4,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,256,32,4,1,4,1,16,8,16,80,1024,10070745088,621854851072,61,34.8344,269.249,17851.8
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_64x256_32x4,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,256,32,4,1,4,1,16,8,16,80,1024,10070745088,621495410688,61,186.834,50.2002,3326.45
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_128x128_32x3,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,128,32,3,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,15.9626,587.567,38957
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_128x128_32x3,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,128,32,3,2,2,1,16,8,16,80,1024,10070745088,621495410688,61,129.544,72.4007,4797.54
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_128x128_32x4,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,128,32,4,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,19.0121,493.323,32708.3
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_128x128_32x4,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,128,32,4,2,2,1,16,8,16,80,1024,10070745088,621495410688,61,129.274,72.552,4807.57
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_128x128_32x5,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,128,32,5,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,19.0275,492.923,32681.9
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_128x128_32x5,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,128,32,5,2,2,1,16,8,16,80,1024,10070745088,621495410688,61,128.888,72.7695,4821.98
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_128x64_32x6,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,64,32,6,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,11.0959,845.276,56043.6
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_128x64_32x6,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,64,32,6,2,2,1,16,8,16,80,1024,10070745088,621495410688,61,64.3211,145.817,9662.39
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_64x128_32x6,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,128,32,6,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,19.2071,488.315,32376.3
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_64x128_32x6,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,128,32,6,2,2,1,16,8,16,80,1024,10070745088,621495410688,61,80.2832,116.825,7741.29
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_64x64_32x10,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,64,32,10,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,12.2546,765.357,50744.7
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_64x64_32x10,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,64,32,10,2,2,1,16,8,16,80,1024,10070745088,621495410688,61,43.2341,216.938,14375.1
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_128x64_64x3,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,64,64,3,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,11.0036,852.366,56513.7
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_128x64_64x3,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,64,64,3,2,2,1,16,8,16,80,1024,10070745088,621495410688,61,64.6293,145.122,9616.31
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_64x128_64x3,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,128,64,3,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,18.5511,505.583,33521.2
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_64x128_64x3,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,128,64,3,2,2,1,16,8,16,80,1024,10070745088,621495410688,61,82.1758,114.135,7563
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816fprop3d_optimized_f16_64x64_64x5,not_verified,success,fprop,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,64,64,5,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,11.2664,832.489,55195.7
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816wgrad3d_optimized_f16_64x64_64x5,not_verified,success,wgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,64,64,5,2,2,1,16,8,16,80,1024,10070745088,621495410688,61,45.8901,204.382,13543.1
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_256x128_32x3_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,128,32,3,4,2,1,16,8,16,80,1024,10070745088,621854851072,61,16.2919,575.691,38169.5
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_128x256_32x3_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,256,32,3,2,4,1,16,8,16,80,1024,10070745088,621854851072,61,32.5658,288.005,19095.3
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_256x64_32x3_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,64,32,3,4,1,1,16,8,16,80,1024,10070745088,621854851072,61,11.1057,844.53,55994.1
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_256x64_32x4_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,64,32,4,4,1,1,16,8,16,80,1024,10070745088,621854851072,61,11.3149,828.914,54958.8
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_64x256_32x4_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,256,32,4,1,4,1,16,8,16,80,1024,10070745088,621854851072,61,35.1189,267.067,17707.1
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_128x128_32x3_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,128,32,3,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,16.1985,579.011,38389.7
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_128x128_32x4_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,128,32,4,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,18.9215,495.684,32864.9
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_128x128_32x5_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,128,32,5,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,18.973,494.34,32775.8
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_128x64_32x6_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,64,32,6,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,11.1854,838.514,55595.2
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_64x128_32x6_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,128,32,6,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,19.2192,488.008,32356
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_64x64_32x10_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,64,32,10,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,12.6154,743.468,49293.5
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_128x64_64x3_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,64,64,3,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,11.1219,843.301,55912.6
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_64x128_64x3_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,128,64,3,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,19.2066,488.327,32377.1
1,CUTLASS,conv3d,cutlass_tensorop_f16_s16816dgrad3d_optimized_f16_64x64_64x5_unity_stride,not_verified,success,dgrad,64,14,56,56,64,64,3,3,3,14,56,56,1,1,1,1,1,1,1,1,1,f16:ndhwc,f16:ndhwc,f16:ndhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,64,64,64,5,2,2,1,16,8,16,80,1024,10070745088,621854851072,61,11.5031,815.358,54059.9
